"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JVM","Native","InstrumentPropertyAccessors","Reference","Methods","FlushEarly","Common","TestKIR","CILabel","Enabled","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3508.2387","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137643.08","137113","3116.6873429122447","132880","146529","136779.17834403546","138506.9816559645","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15131.5648","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154781.22","154485","5328.099811722137","144476","167025","153304.34608097866","156258.09391902134","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2092.1651","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3508.2387","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137598","137555.5","2706.0868501983314","130886","144212","136847.91099399605","138348.08900600395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15131.5648","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154899.72","153835.5","6509.829563084441","142087","173275","153095.28730565714","156704.15269434286","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1905.3117","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2962.0471","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137092.08","136999","3161.769466095638","132194","148297","136215.68221703026","137968.4777829697","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14255.9857","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155551.08","155131.5","5159.763571707367","145302","166728","154120.86650613754","156981.29349386244","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1905.3117","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2962.0471","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137301.76","136962","2845.9437411795734","131024","144556","136512.90464164072","138090.6153583593","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14255.9857","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154855.52","154909.5","5546.978277386339","146106","166338","153317.9760656265","156393.06393437347","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1467.1741","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3154.4984","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136763.22","136885.5","3332.707750555431","130390","144555","135839.44054194877","137686.99945805123","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14474.5405","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154286.66","154546.5","5234.555668373975","143740","166891","152835.71519463457","155737.60480536544","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1467.1741","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3154.4984","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136908.78","136593.5","3032.0253303152776","131677","145937","136068.34545665624","137749.21454334375","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14474.5405","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
