"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Native","InstrumentPropertyAccessors","Reference","FlushEarly","JVM","JS","Enabled","Common","TestKIR","Methods","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4163.1925","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227004.46","223774","8826.421192634982","217908","264490","224557.90086666303","229451.01913333696","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19077.7252","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197413.72","195509","10665.758436325135","184064","238081","194457.32259420533","200370.11740579468","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2467.6261","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4163.1925","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225995.86","222972","8143.386641957273","217883","253537","223738.62838479003","228253.09161520994","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19077.7252","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197269.62","193361","13595.292117148945","186021","248081","193501.19728668677","201038.04271331322","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2309.4219","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4003.9649","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226133.3","223341.5","8869.65721273537","218349","276350","223674.75645332524","228591.84354667473","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18671.2816","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206248.76","196875","16754.898776251946","185602","233195","201604.5390032295","210892.98099677052","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2309.4219","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4003.9649","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"267176.48","262784","38948.46130006228","221204","341977","256380.51732799408","277972.44267200585","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18671.2816","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206420.6","197061.5","20129.902923618025","186829","271202","200840.87558212847","212000.32441787154","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2458.1007","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3841.1601","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228200.7","226690","5064.760772600566","220904","240580","226796.81993854177","229604.58006145825","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18801.0124","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206953.96","200418","17456.965751919015","188140","253844","202115.13596604767","211792.7840339523","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2458.1007","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3841.1601","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227673.3","226600","6322.308168828268","219747","253637","225920.8455842596","229425.75441574038","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18801.0124","50","False","500","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","2026-08-20 00:46:08","ce41f5b15638cac7dcd6b556d0c5d5d72ce7bf96","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.13","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.14","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
