"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","Common","FlushEarly","Methods","Enabled","TestKIR","CILabel","JVM","Native","InstrumentPropertyAccessors","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3001.0274","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137779.62","137121","3055.047599014604","132709","148527","136932.80400934853","138626.43599065146","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14828.6777","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154022.96","153466.5","5266.202907180072","142283","168621","152563.24302758562","155482.67697241437","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1593.5449","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3001.0274","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137280.84","137492","2298.373385413151","132777","143183","136643.76340064246","137917.91659935753","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14828.6777","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153519.22","153432.5","4165.994593204874","145526","164710","152364.46521332127","154673.97478667874","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1492.1672","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2503.1727","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137450.36","137096","3246.915696661139","132502","153252","136550.36088603633","138350.35911396364","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14326.0433","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152328.24","152166.5","4114.409504883726","143547","162311","151187.78387029917","153468.6961297008","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1492.1672","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2503.1727","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138343.12","137539","3966.525913446276","132674","155834","137243.6551105092","139442.5848894908","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14326.0433","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154456.84","154132.5","4842.691916102624","146099","171133","153114.5142851152","155799.1657148848","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1465.7756","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2518.4201","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139645.44","138393.5","6995.507547223811","134177","175016","137706.3842368024","141584.4957631976","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14165.5367","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154543.24","153808.5","5962.754693349478","143040","183653","152890.44872293802","156196.03127706196","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1465.7756","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2518.4201","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137005.18","136957.5","2585.706587912772","132560","144456","136288.45870031102","137721.90129968897","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14165.5367","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
