"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Reference","JVM","TestKIR","Native","JS","Dedicated","Enabled","InstrumentPropertyAccessors","Common","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4190.6503","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230444.38","229526","6491.308508981491","220977","250026","228645.0810799339","232243.6789200661","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18384.8297","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181180.04","181017.5","3155.4944692244544","176226","193498","180305.3815574234","182054.69844257663","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2764.1234","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4190.6503","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226474.46","224899.5","4137.1750551726545","220730","241879","225327.69358170437","227621.2264182956","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18384.8297","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181363.8","181105","2858.9666036553003","175791","188739","180571.33488832883","182156.26511167115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2377.1809","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3438.5106","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228687.12","226471.5","5455.584110368579","220484","243937","227174.90923624812","230199.33076375187","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17654.8718","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181847.56","181097.5","3667.1772782624075","175275","192708","180831.07031886114","182864.04968113886","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2377.1809","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3438.5106","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225987.4","224704","4223.97757221937","220960","244033","224816.5731515207","227158.2268484793","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17654.8718","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179501.02","179080","4530.257858543811","174227","202311","178245.2965874984","180756.7434125016","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1946.8511","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3164.613","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224977.62","224595.5","3839.7208119702605","220147","242628","223913.30369138913","226041.93630861086","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17014.8579","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180898","180242.5","3511.6381722867213","175514","192452","179924.6235594386","181871.3764405614","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1946.8511","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3164.613","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227891.08","226639","5368.228772764318","221174","248372","226403.08290047248","229379.0770995275","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17014.8579","50","False","500","System.String[]","True","True","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-19 02:35:27","6c39b9e7cbee4c6de8d7d24189d0fb964664625e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","1.27","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
