"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","TestKIR","Methods","CILabel","Common","Native","JS","JVM","Dedicated","FlushEarly","Reference","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3284.1521","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134450.3","134387.5","3812.0901773709597","124960","140479","133393.64251255384","135506.95748744614","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14899.4836","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154017.3","153176","6078.89913587005","144874","178101","152332.31512595987","155702.2848740401","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2139.4048","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3284.1521","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133943.18","133186.5","5042.829504942475","125658","152847","132545.37897578953","135340.98102421046","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14899.4836","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152949.86","152243","5106.494384444905","143068","166338","151534.41197152584","154365.30802847413","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2249.1669","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3033.1091","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136825.5","134662.5","15035.598733522726","124941","236511","132657.8446611199","140993.1553388801","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14484.7813","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153201.96","152758","4794.333355629118","142667","167480","151873.03859420258","154530.8814057974","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2249.1669","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3033.1091","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133083.7","132767.5","3886.786045733174","125156","145592","132006.337874176","134161.062125824","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14484.7813","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153511.68","153251","5029.997518723776","146712","165710","152117.4358209023","154905.9241790977","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1320.2496","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2441.6025","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135632.06","133622","16373.689889214442","124281","246731","131093.504715746","140170.615284254","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14492.4328","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151483.38","151959","4014.0218616388083","142143","158858","150370.74990534724","152596.01009465277","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1320.2496","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2441.6025","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134480.5","134271.5","4573.776844408675","127835","154937","133212.71374005236","135748.28625994764","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14492.4328","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","True","True","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-06-13 04:02:30","30e27d4be7b5792b8bd78845e67d3ac60adde841","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.65","145","85","0.03","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
