"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","CILabel","Common","JVM","JS","Enabled","Dedicated","Native","FlushEarly","TestKIR","Methods","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2744.6231","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"134308.16","134015","1560.3409538446713","131297","138459","133875.65555358474","134740.66444641526","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","15491.9132","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"134313.02","133482.5","22005.326926970592","95850","192213","128213.45457022316","140412.5854297768","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2383.6034","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2744.6231","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"134888.54","134217","2161.185117154994","132401","146028","134289.49004851803","135487.589951482","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","15491.9132","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"100922.36","100548","3053.52602980454","95690","117018","100075.96576681586","101768.75423318414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1380.0988","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2262.4692","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144383.9","143166.5","7134.867703963488","135251","172392","142406.21557215415","146361.58442784584","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","11750.4517","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"128917.62","136676","32335.19031787921","95538","238509","119954.76252086584","137880.47747913416","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1380.0988","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2262.4692","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"134509.12","133667.5","3268.792329198747","130916","150584","133603.05699287134","135415.18300712865","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","11750.4517","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"98576.9","98030.5","3307.4413765301533","95220","119099","97660.12402351719","99493.6759764828","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1381.2709","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2206.1491","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"146124.44","146994","10653.200347275164","132274","173197","143171.5235188963","149077.3564811037","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","10840.8145","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"116083.18","103358.5","19912.11278849215","96605","161187","110563.82392764627","121602.53607235372","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1381.2709","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2206.1491","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137872.5","135768.5","4871.932279153012","131930","151313","136522.06926998828","139222.93073001172","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","10840.8145","50","False","500","True","ci-windows-large","True","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-31 02:43:56","4d1c0a1b12500a83ab83acec32033d38f8eb8ee4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.3","High performance","0.19","140","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
