"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","InstrumentPropertyAccessors","JS","Dedicated","Methods","JVM","Common","TestKIR","Enabled","FlushEarly","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"82015","103953","19675.628045884583","65930","103953","33168.164660304414","130861.8353396956","commonmain-plain-jar","1996.2222","3","False","20","True","System.Boolean[]","True","False","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-small","True","2026-06-26 02:10:44","2f767eb4569eb1f5561da54297be66191cbd7aec","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6174.5416","3","False","20","True","System.Boolean[]","True","False","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-small","True","2026-06-26 02:10:44","2f767eb4569eb1f5561da54297be66191cbd7aec","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"9471.666666666666","10732","2019.809479464173","7142","10732","4457.275215940955","14486.058117392378","commonmain-plain-linux-exe","17071.0572","3","False","20","True","System.Boolean[]","True","False","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-small","True","2026-06-26 02:10:44","2f767eb4569eb1f5561da54297be66191cbd7aec","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"105369","118697","11885.211146630925","95871","118697","75862.7016240035","134875.2983759965","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2330.773","3","False","20","True","System.Boolean[]","True","False","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-small","True","2026-06-26 02:10:44","2f767eb4569eb1f5561da54297be66191cbd7aec","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3952.1406","3","False","20","True","System.Boolean[]","True","False","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-small","True","2026-06-26 02:10:44","2f767eb4569eb1f5561da54297be66191cbd7aec","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"47689.666666666664","50850","2749.584029145742","45846","50850","40863.53242530347","54515.80090802986","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","22957.4203","3","False","20","True","System.Boolean[]","True","False","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-small","True","2026-06-26 02:10:44","2f767eb4569eb1f5561da54297be66191cbd7aec","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
