"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","Common","Reference","Enabled","CILabel","Methods","JS","JVM","FlushEarly","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4849.7666","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137907.52","137763.5","2502.7341231997802","133344","144705","137213.79749415154","138601.24250584844","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18581.1979","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154667.72","154580","5081.348129970941","146148","167457","153259.24215765335","156076.19784234665","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2433.2191","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4849.7666","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137061.22","136931.5","2918.4867989268346","130196","143207","136252.25673192076","137870.18326807924","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18581.1979","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153899.74","153334","5536.874204045868","143180","171905","152364.99677186698","155434.483228133","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3380.7588","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3854.5072","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136945.54","137128","2405.9866592501703","133066","143254","136278.63452297755","137612.44547702247","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20071.0188","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156255.52","156338","4989.616329121582","145117","169035","154872.46891559832","157638.57108440166","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3380.7588","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3854.5072","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138452.14","138225","2763.607166700205","133640","146851","137686.1071757011","139218.17282429893","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20071.0188","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154862.66","154119","4753.05023700678","144583","164794","153545.18169086814","156180.13830913187","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2092.348","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3956.534","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136717.02","136223.5","4012.3165098359377","131621","158029","135604.86260475026","137829.17739524972","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18362.3129","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156241.72","156495","5585.506912628469","140955","171608","154693.4964728007","157789.9435271993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2092.348","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3956.534","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137003.32","136612","3113.4865451674555","131484","144828","136140.3055599054","137866.33444009462","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18362.3129","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","False","2026-06-10 03:59:08","d3ea153a0ea807991600600148df89b2cc6d7b54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.04","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
