"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Enabled","Dedicated","Methods","InstrumentPropertyAccessors","JVM","FlushEarly","Reference","Native","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5229.1749","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"154092.98","150883.5","13435.2779294069","138333","204874","150368.91095664425","157817.04904335577","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","17459.1688","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"111126.66","109487","5369.322283119165","103573","124980","109638.35979486632","112614.96020513368","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4296.7548","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5229.1749","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"141945.8","140908.5","5517.287210510732","134266","163780","140416.48600948005","143475.11399051992","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","17459.1688","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"108019.22","106933","6485.004427138042","100977","135046","106221.66848227","109816.77151773","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1519.2469","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2881.3164","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144417.86","143740.5","7053.777083468494","136967","177740","142462.65274539005","146373.06725460992","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","12593.1872","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"111592.78","109341.5","10664.35822057449","100393","170667","108636.77071420988","114548.78928579012","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1519.2469","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2881.3164","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142381.26","140779.5","6828.936968130098","135421","178106","140488.37524572358","144274.14475427644","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","12593.1872","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"115989.66","109037","17759.293799861407","100843","202994","111067.03490661325","120912.28509338676","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1586.8755","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2092.318","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140469.56","139102.5","4848.15722685708","132908","157571","139125.71937826328","141813.4006217367","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","12521.4749","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"109689.62","109278.5","6213.44640601399","100602","129797","107967.34052541318","111411.89947458681","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1586.8755","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2092.318","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142812.64","141071.5","7463.588305792821","134639","172241","140743.83887001983","144881.4411299802","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","12521.4749","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","True","2026-09-19 02:28:19","a5f3ff53d7e1a7db8202da79f7ecfc5eef0f06b3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.53","High performance","0.1","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
