"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Methods","Enabled","Common","Native","FlushEarly","Dedicated","InstrumentPropertyAccessors","Reference","JS","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3277.0066","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142963.1","143005","2800.2047465228284","137124","152764","142186.922844129","143739.277155871","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14657.0172","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141242.26","140442","3973.1562316657632","132267","149901","140140.95728006322","142343.5627199368","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2127.107","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3277.0066","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143111.56","142406","4165.907114682619","136481","156338","141956.82946113055","144266.29053886945","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14657.0172","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140764.36","140413.5","3851.357766199513","134068","150105","139696.81809224398","141831.901907756","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2238.0605","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4357.2333","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143517.12","143409","3359.6021669239353","137432","152823","142585.88579006618","144448.3542099338","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14333.1322","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141948.4","141310","4685.931523709875","133743","152782","140649.5260490163","143247.27395098368","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2238.0605","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4357.2333","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143208.28","141984.5","6339.644694994784","136727","182952","141451.0201443755","144965.5398556245","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14333.1322","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140950.12","140502.5","4799.898564574472","130646","152317","139619.65599698486","142280.58400301513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1321.1247","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2365.3941","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143180.6","142075","4637.903520042702","137144","160362","141895.03873243163","144466.1612675684","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13863.1212","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141474.86","141231.5","5161.219730107308","133515","155577","140044.24287962174","142905.47712037823","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1321.1247","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2365.3941","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142602.92","141953.5","3188.5157370968527","137547","155868","141719.1085289485","143486.73147105152","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13863.1212","50","False","500","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","2026-06-22 04:43:40","665158186ea88b6ed3267ee0d1bf49f408c62b91","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
