"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Reference","TestKIR","FlushEarly","CILabel","Common","InstrumentPropertyAccessors","Dedicated","Methods","Enabled","JVM","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4136.7261","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142092.92","142030.5","2485.372618883108","138240","147974","141404.00985762567","142781.83014237435","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17860.227","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144493.02","144173.5","4231.488571437252","136202","152984","143320.11120875634","145665.92879124364","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2286.8541","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4136.7261","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143701.8","143583.5","3103.415156348416","138145","158205","142841.5772064587","144562.02279354128","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17860.227","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145292.36","144907.5","4391.57366969137","136929","155627","144075.0778834077","146509.64211659227","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2163.1674","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3403.2183","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143169.94","142700.5","3571.8746601978173","137561","161491","142179.8668568405","144160.0131431595","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20092.2907","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144865.68","145217","3964.2447485142043","137206","154727","143766.84741716864","145964.51258283135","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2163.1674","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3403.2183","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143105.98","141817","4421.07850675117","138413","158542","141880.51955982554","144331.44044017448","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20092.2907","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144028.2","143370","4318.997502728085","137152","153686","142831.03497053415","145225.36502946587","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2056.9189","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3735.8872","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143940.76","143485.5","3440.0783068923038","137029","156483","142987.2189421424","144894.3010578576","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17553.8333","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144626.4","144822","3800.166484000726","137409","152932","143573.0475917339","145679.7524082661","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2056.9189","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3735.8872","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142758.22","142272","2871.613819823982","138321","154475","141962.24925886095","143554.19074113906","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17553.8333","50","False","500","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","2026-05-22 03:55:55","d147917bbc37ec5707bfc21a7302e719056d44a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.05","167","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
