"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Common","Native","Reference","CILabel","JVM","FlushEarly","TestKIR","Dedicated","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"56583","64012","6569.837212595149","51538","64012","40272.68168213753","72893.31831786247","commonmain-plain-jar","1889.2798","3","False","20","System.Boolean[]","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","False","True","2026-04-12 01:25:29","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.73","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6313.5597","3","False","20","System.Boolean[]","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","False","True","2026-04-12 01:25:29","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.73","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"10774","11337","627.8112773756139","10097","11337","9215.391857029697","12332.608142970303","commonmain-plain-exe","2267.9573","3","False","20","System.Boolean[]","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","False","True","2026-04-12 01:25:29","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.73","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"127045","159168","27934.73069496107","108447","159168","57694.06556815546","196395.93443184454","commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-jar","1915.6604","3","False","20","System.Boolean[]","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","False","True","2026-04-12 01:25:29","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.73","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-node","3921.2592","3","False","20","System.Boolean[]","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","False","True","2026-04-12 01:25:29","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.73","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"66536.33333333333","84808","18880.960047977787","47100","84808","19662.345658421582","113410.32100824508","commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-exe","3539.9332","3","False","20","System.Boolean[]","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","False","True","2026-04-12 01:25:29","ab291a6ccbb26181c39d83e1dba397e9b639c009","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.73","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
