"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","Reference","Native","InstrumentPropertyAccessors","TestKIR","CILabel","Enabled","FlushEarly","Common","JVM","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3845.7451","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"149633.26","148850.5","5321.224329004729","141276","172782","148158.2918675564","151108.22813244362","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","14847.871","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"118443.04","113688.5","14219.123936043721","106711","179513","114501.69992857828","122384.3800714217","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2422.9217","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3845.7451","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"147337.82","146890","4398.772030362797","138052","159495","146118.54259962722","148557.0974003728","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","14847.871","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"120678.42","115197","16705.003048811945","105775","187253","116048.0293932617","125308.81060673829","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2437.4796","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3155.5157","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"145764.6","145247","6496.312615002202","136844","172243","143963.9140125119","147565.2859874881","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","16703.7889","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"117910.24","113873","11260.895646330759","104983","168099","114788.87897588822","121031.60102411179","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2437.4796","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3155.5157","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"146077","145438.5","4243.035734577068","136450","158065","144900.89049843137","147253.10950156863","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","16703.7889","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"113487.52","111345","7345.773226523549","101775","143100","111451.37554387892","115523.66445612109","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1998.2851","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3246.4121","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144843.64","144809","4145.791590103321","137415","157961","143694.4852000747","145992.79479992532","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","13614.693","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"112956.98","111300.5","6466.050308451719","103652","133146","111164.68229592495","114749.27770407504","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1998.2851","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3246.4121","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"146987.82","147096.5","3628.919227932353","139422","156946","145981.9349093759","147993.7050906241","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","13614.693","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
