"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","TestKIR","Dedicated","Enabled","Reference","Common","JVM","CILabel","FlushEarly","JS","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"176679.94","158473.5","42572.63497782948","147761","367546","164879.4076367653","188480.4723632347","commonmain-plain-jar","2028.9219","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6207.1925","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138596.88","137947","3572.4330166954164","131927","149444","137606.65208831552","139587.1079116845","commonmain-plain-linux-exe","17229.1378","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156032.4","155417.5","5091.963167380454","142370","167176","154620.9798193989","157443.8201806011","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2548.8966","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4120.685","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137650.12","137472.5","2938.754023356824","131662","151046","136835.53894392328","138464.7010560767","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38048.5107","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155295.14","155264","5195.927200201704","140815","168587","153854.90245973683","156735.3775402632","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2548.8966","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4120.685","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138190.88","137896","2733.1952194739224","131892","144052","137433.27693739333","138948.48306260668","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38048.5107","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156155.66","155780","6806.504205117757","146479","190257","154268.99329039152","158042.3267096085","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2417.1475","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
