"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Reference","FlushEarly","Dedicated","JVM","CILabel","Enabled","Common","InstrumentPropertyAccessors","Methods","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4599.3521","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138238.96","137664.5","4040.011345508418","133320","159016","137119.12598795598","139358.794012044","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17062.9115","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153238.12","151808","5178.798007417616","145186","165040","151802.63042973937","154673.60957026063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2602.397","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4599.3521","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138292.36","137760","3910.00830814922","132539","155971","137208.56099143828","139376.1590085617","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17062.9115","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153217.58","153004.5","5131.291515390484","141743","164660","151795.25855750317","154639.9014424968","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1873.8875","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2936.758","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136832.94","136606","3365.036115341263","132264","150822","135900.19957641058","137765.68042358942","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15601.3615","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154209.46","154506.5","5915.104178046474","144442","170908","152569.87677191716","155849.04322808282","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1873.8875","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2936.758","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137013.66","136781","2306.0228914558434","132821","143378","136374.46306574502","137652.856934255","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15601.3615","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153530.2","152726","4553.198386960577","144830","164313","152268.11779744108","154792.28220255894","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1397.0426","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2698.788","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137625.04","137252.5","4210.087632807465","130629","152045","136458.06324629727","138792.01675370274","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14414.4814","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153506.52","153434","4535.297021256757","144094","162614","152249.39980285708","154763.6401971429","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1397.0426","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2698.788","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138519.42","138080.5","4170.441258354775","133206","158863","137363.43266062546","139675.40733937456","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14414.4814","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
