"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Methods","JS","CILabel","InstrumentPropertyAccessors","Enabled","Common","JVM","Dedicated","TestKIR","FlushEarly","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5025.7328","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250388.66","245678","15177.04279443402","226735","298345","246181.79836770534","254595.52163229467","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27625.92","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199092.6","195714.5","9760.129879530605","189807","239751","196387.23002295362","201797.9699770464","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3536.5524","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5025.7328","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248082.02","246455.5","14103.366258305794","221183","285791","244172.7663198282","251991.27368017178","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27625.92","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211220.98","217920.5","18965.921561396935","184587","265964","205963.89475497376","216478.06524502626","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","7104.1486","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5472.4796","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"271130.9","271415","25416.233398626737","232601","328598","264085.87953255157","278175.9204674485","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","37318.737","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222687.76","222083","16570.56615558849","191499","282630","218094.63339888697","227280.88660111304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","7104.1486","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5472.4796","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"276701.36","286064.5","23068.461163224216","224105","313806","270307.10879453865","283095.6112054613","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","37318.737","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"269122.86","267613","14266.42465830246","240451","308882","265168.4088372843","273077.31116271566","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4275.5864","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4905.8506","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240494.7","237062.5","10805.887386711269","222961","264533","237499.4608308304","243489.93916916964","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22468.1023","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224313.64","223653.5","20117.03837268705","192833","290584","218737.48145371894","229889.7985462811","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4275.5864","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4905.8506","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227309.86","224790","7531.328803831935","220984","265200","225222.2821619342","229397.43783806576","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22468.1023","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
