"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","JS","FlushEarly","Methods","Dedicated","Enabled","TestKIR","Common","InstrumentPropertyAccessors","CILabel","Reference","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3371.5953","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133926.26","133966","3103.8623457931653","128300","141692","133065.91325186868","134786.60674813134","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15422.0854","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154085.6","154181","4680.946341613117","145693","167844","152788.1078709942","155383.09212900582","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1994.307","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3371.5953","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133670.26","132385.5","4341.02502618439","127186","149519","132466.98925254034","134873.53074745968","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15422.0854","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154193.98","153590.5","5122.378096835372","144969","168472","152774.12923107512","155613.8307689249","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1724.3639","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2647.4057","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132860.8","132988","2984.4220580219817","126402","139177","132033.56041054116","133688.03958945881","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14671.715","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155275.74","155328.5","6023.546202146022","142104","168026","153606.09817639945","156945.38182360053","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1724.3639","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2647.4057","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133432.14","133013","3323.4227930903785","127367","143133","132510.93420085232","134353.3457991477","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14671.715","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154231.84","154433","4515.6321832821895","144066","163966","152980.1706178479","155483.5093821521","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1391.7572","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2538.9769","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134991.38","134573.5","3469.698045381248","128613","144967","134029.62876950897","135953.13123049104","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14535.8945","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156846.38","156761","5835.524822558283","143630","176236","155228.85504386516","158463.90495613485","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1391.7572","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2538.9769","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134117.92","134021","3560.488402865368","128563","148435","133131.00296635117","135104.83703364886","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14535.8945","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
