"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","Common","JS","FlushEarly","Native","Reference","CILabel","JVM","Enabled","Dedicated","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4262.0983","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139381.62","138021","5970.742352539436","132794","172574","137726.61465677025","141036.62534322974","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16693.4064","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154535.7","153675","5940.467181689895","142690","168902","152889.0865059851","156182.31349401493","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2138.428","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4262.0983","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138004.3","137591","3775.458324657351","132898","156132","136957.79634408664","139050.80365591333","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16693.4064","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155757.64","155548","5137.453453823604","146548","171949","154333.61055531027","157181.66944468976","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1957.6005","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3269.6551","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136295.46","136360","3280.591871748083","129879","144264","135386.12632654313","137204.79367345685","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14790.5479","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155915.9","154624","5155.416395819617","145757","168658","154486.89148181686","157344.90851818313","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1957.6005","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3269.6551","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137513.26","137997","3234.262612297604","131625","144500","136616.76814208485","138409.75185791517","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14790.5479","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154418.86","154368","4274.56680707686","145804","164633","153234.01053103973","155603.70946896024","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1879.8994","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2779.6145","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137155.22","136711.5","4350.750473804044","128258","150467","135949.25349599525","138361.18650400476","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14109.7127","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152985.6","153289","4883.967565788441","143298","163026","151631.83325873324","154339.36674126677","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1879.8994","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2779.6145","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136968.18","136764.5","3229.7589326228576","130017","146066","136072.93649840067","137863.42350159932","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14109.7127","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","False","System.String[]","2026-06-11 04:13:11","ac520a9bbadf7277221d4fa1810c88a751aa0ba1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","86","0.02","161","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
