"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JVM","Methods","Native","JS","InstrumentPropertyAccessors","FlushEarly","TestKIR","Common","Dedicated","Reference","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"145825.94","144941","7806.94949808914","133968","175629","143661.96400325195","147989.91599674805","commonmain-plain-jar","1935.6078","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6202.6119","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144413.5","144047","2735.6641640317157","139393","151090","143655.21258087715","145171.78741912285","commonmain-plain-linux-exe","15662.8129","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143459.72","143217","5253.154313984181","134702","157448","142003.61991308926","144915.82008691074","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2501.0433","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4085.152","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144655.58","144426","3107.4801596227417","139748","154343","143794.2304450374","145516.92955496258","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19001.5162","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142570.12","142353","4225.900124571941","135650","153565","141398.76024719686","143741.47975280313","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2501.0433","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4085.152","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144834.46","144327.5","3440.4850346829803","138631","153798","143880.80620295068","145788.1137970493","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19001.5162","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142343.8","142699.5","4413.446235479638","131464","152430","141120.4551174881","143567.14488251187","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2291.7882","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
