"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","Reference","Enabled","CILabel","Native","Methods","Common","JS","Dedicated","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5068.5775","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222769.2","222037.5","3134.8431136085223","217661","234256","221900.2658211533","223638.13417884673","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20517.218","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194415.7","189341.5","13158.988912294042","184966","228011","190768.21436497086","198063.18563502916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2413.0559","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5068.5775","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245802.04","240359.5","20353.458027368142","231279","365378","240160.34926883486","251443.73073116515","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20517.218","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212239.42","217641.5","13661.248410234051","188657","238510","208452.71513498263","216026.1248650174","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2409.4907","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3691.2465","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228780.82","224629.5","10780.72998681311","220656","267978","225792.55410631184","231769.08589368817","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18709.6384","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216181.28","220873.5","17160.63055908221","186010","272991","211424.59589079645","220937.96410920355","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2409.4907","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3691.2465","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222603.24","221383.5","4459.4537121280055","217585","247422","221367.14249558857","223839.3375044114","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18709.6384","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210741.34","214734.5","18702.616772723195","182791","250219","205557.23911879706","215925.44088120293","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2178.2666","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3529.072","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237362.34","234981.5","13429.485345207497","221459","268890","233639.87657906688","241084.8034209331","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19961.3954","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221289.78","220568","14569.777635172315","191423","301094","217251.24368204552","225328.31631795448","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2178.2666","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3529.072","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253331.88","251672.5","19151.246006930185","222189","341433","248023.42543948852","258640.3345605115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19961.3954","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
