"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Dedicated","Reference","InstrumentPropertyAccessors","FlushEarly","Methods","JS","TestKIR","Enabled","CILabel","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3099.1747","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145275.22","144675","3650.1756250171557","141230","161744","144263.44293670717","146286.99706329283","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15331.8408","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146374","146006","5394.509616267265","138257","162849","144878.71822231126","147869.28177768874","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1727.9545","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3099.1747","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145276.48","145125","2874.408256689096","140934","156463","144479.73468048027","146073.22531951976","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15331.8408","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143761.04","144174.5","4721.47900539305","135816","154706","142452.31278979822","145069.7672102018","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1732.8188","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2556.5051","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145795.84","144464","4192.046927607718","140823","159822","144633.86387465106","146957.81612534894","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14604.8862","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143266.36","142945.5","5504.25721975495","133477","153665","141740.65773865036","144792.0622613496","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1732.8188","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2556.5051","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144575.44","144807.5","3075.0610092504257","139312","152221","143723.0765750563","145427.8034249437","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14604.8862","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143709.34","142793","5037.056200575401","137141","157667","142313.13925411532","145105.54074588467","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1312.1376","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2573.1454","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145096.78","145145.5","2357.1507384283827","139811","151897","144443.41114960273","145750.14885039727","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14210.4082","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142544.26","141939","4415.373776259676","135528","157510","141320.38083044277","143768.13916955725","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1312.1376","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2573.1454","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151344.06","145306.5","30432.47530249787","140439","350239","142908.60821536215","159779.51178463784","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14210.4082","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","2026-08-16 01:25:50","b17289f790c3c95510bb7bd0bef9c2b9879443e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.95","145","83","0.09","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
