"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Enabled","Native","InstrumentPropertyAccessors","Methods","CILabel","JVM","Common","FlushEarly","Reference","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2855.2048","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112667.26","112146","2603.040395070224","108605","121452","111945.73401409778","113388.78598590221","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14284.8616","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110076.5","109730.5","4244.282219789878","102645","122622","108900.0449903579","111252.9550096421","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2551.4589","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2855.2048","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113087.16","112549.5","3122.4226227565737","108982","124565","112221.66860556968","113952.65139443033","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14284.8616","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110317.54","110669.5","4006.428569951354","103044","121240","109207.01465842036","111428.06534157963","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2275.6096","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2881.2869","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114176.26","113047","4206.9763479540625","109190","129652","113010.14565045954","115342.37434954045","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15394.9079","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110841.84","111431","4058.4447275441134","101725","118507","109716.89651513644","111966.78348486355","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2275.6096","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2881.2869","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112959.42","112408.5","2766.8443683690466","108407","126532","112192.48986917827","113726.35013082172","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15394.9079","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110613.62","110921","3759.9091656961227","103341","118275","109571.42635105799","111655.813648942","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1910.5175","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3739.1665","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112615.3","112631.5","2132.872005019504","108670","118739","112024.09804280433","113206.50195719568","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14616.7613","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110301.5","110698","4037.674099361297","103616","120936","109182.31383953517","111420.68616046483","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1910.5175","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3739.1665","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112734.06","112458","2970.3904602126718","107600","125973","111910.70977102222","113557.41022897778","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14616.7613","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
