"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","InstrumentPropertyAccessors","Common","CILabel","JS","Native","Reference","TestKIR","FlushEarly","JVM","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5335.4911","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218342.22","215668","7781.781140980674","213788","254411","216185.22031591716","220499.21968408284","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26385.6161","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215122.28","219415","17681.571633489035","180146","241461","210221.1983920023","220023.3616079977","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3598.6885","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5335.4911","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224902.54","221272.5","11358.533092286672","216202","280108","221754.11525663603","228050.964743364","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26385.6161","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215299.24","215138","18120.550825704464","189011","248599","210276.47956786508","220322.0004321349","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4574.793","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4992.2208","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239462.98","232209","29887.0387110861","214330","349921","231178.71552506002","247747.24447494","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25461.1869","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200376.84","198082","18113.990481325505","179764","232862","195355.898002552","205397.78199744798","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4574.793","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4992.2208","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234740.86","229335","17898.74343669558","215238","297792","229779.58143934817","239702.1385606518","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25461.1869","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215719.38","214836","15160.005809984888","190024","265213","211517.24077886145","219921.51922113856","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2130.2167","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3337.4739","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242728.3","238972.5","13670.061583024177","225879","282996","238939.1522481191","246517.44775188089","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19293.8968","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216642","214914","10096.959999152705","208628","268373","213843.2654771701","219440.7345228299","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2130.2167","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3337.4739","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244909.26","239791","16206.590500957142","224901","300922","240417.02230308903","249401.49769691098","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19293.8968","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
