"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","IOA","JVM","JS","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"47582.42","44835","11980.243238118741","37125","104524","44261.66599629629","50903.17400370371","commonmain_plain_jar","931.1265","50","False","10","ci-linux-large","True","True","True","True","True","2026-04-12 02:58:22","fcf15b0153725a8451dc19792b651238e787af4d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","12.52","145","84","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"42257.14","41725","3939.9155228175614","37120","52986","41165.05113447332","43349.22886552668","commonmain_ioa_jar","1783.3715","50","False","10","ci-linux-large","True","True","True","True","True","2026-04-12 02:58:22","fcf15b0153725a8451dc19792b651238e787af4d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","12.52","145","84","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"3603.32","3536","301.97671487472445","3177","4350","3519.616325123445","3687.023674876555","commonmain_plain_exe","921.2857","50","False","10","ci-linux-large","True","True","True","True","True","2026-04-12 02:58:22","fcf15b0153725a8451dc19792b651238e787af4d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","12.52","145","84","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"3558.48","3509","306.03869569926303","3098","4730","3473.6504014825014","3643.3095985174987","commonmain_ioa_exe","3059.7503","50","False","10","ci-linux-large","True","True","True","True","True","2026-04-12 02:58:22","fcf15b0153725a8451dc19792b651238e787af4d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","12.52","145","84","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
,,,,,,,"commonmain_plain_node","835.45","50","False","10","ci-linux-large","True","True","True","True","True","2026-04-12 02:58:22","fcf15b0153725a8451dc19792b651238e787af4d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","12.52","145","84","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
,,,,,,,"commonmain_ioa_node","3551.213","50","False","10","ci-linux-large","True","True","True","True","True","2026-04-12 02:58:22","fcf15b0153725a8451dc19792b651238e787af4d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","12.52","145","84","0.12","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
