"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JS","TestKIR","Dedicated","CILabel","Native","Enabled","JVM","Methods","Reference","InstrumentPropertyAccessors","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"252744.66666666666","363737","96167.94510819775","194282","363737","13997.533985452814","491491.79934788053","commonmain-plain-jar","3035.1162","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-windows-small","True","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-04-23 02:32:45","2d5c048c1dbd8f0a1d94808cbc496f5e27bf7f5d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.24","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8655.6099","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-windows-small","True","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-04-23 02:32:45","2d5c048c1dbd8f0a1d94808cbc496f5e27bf7f5d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.24","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"20465.333333333332","20755","358.06470551191353","20065","20755","19576.39969064052","21354.266976026145","commonmain-plain-win-exe","99170.2488","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-windows-small","True","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-04-23 02:32:45","2d5c048c1dbd8f0a1d94808cbc496f5e27bf7f5d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.24","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"141044.66666666666","165851","22023.471123629293","123792","165851","86369.06164528217","195720.27168805114","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4783.1496","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-windows-small","True","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-04-23 02:32:45","2d5c048c1dbd8f0a1d94808cbc496f5e27bf7f5d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.24","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6051.0185","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-windows-small","True","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-04-23 02:32:45","2d5c048c1dbd8f0a1d94808cbc496f5e27bf7f5d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.24","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"88774.66666666667","99562","9526.05318761833","81518","99562","65125.22836626628","112424.10496706706","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","43065.7002","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-windows-small","True","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-04-23 02:32:45","2d5c048c1dbd8f0a1d94808cbc496f5e27bf7f5d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.24","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
