"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Common","TestKIR","JVM","InstrumentPropertyAccessors","Reference","Methods","FlushEarly","Enabled","Native","Dedicated","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3311.507","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139231.9","138941.5","2880.6210161657004","133325","146920","138433.43259141277","140030.36740858722","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14940.7686","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160080.92","160186.5","5517.1407998812465","150590","174845","158551.64659243607","161610.19340756396","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2460.905","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3311.507","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139527.02","139424.5","2555.74762008126","135271","145242","138818.60290252094","140235.43709747904","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14940.7686","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158277.5","158054","4931.577142481388","149635","171234","156910.53655735787","159644.46344264213","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1688.1307","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2603.8672","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139604.7","139465","2199.0495558262423","135681","145583","138995.15456158874","140214.24543841128","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14581.9207","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158154.1","156201.5","5611.828627178161","148954","170454","156598.58046576328","159709.61953423673","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1688.1307","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2603.8672","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140314.66","138967","4553.99433379587","132800","161522","139052.35717223442","141576.9628277656","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14581.9207","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156856.76","155663","5009.303827797199","146946","172859","155468.25181938164","158245.26818061838","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1712.6071","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3132.8547","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142308.26","139832","16935.03168571959","133057","258177","137614.1087081241","147002.4112918759","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","16110.3365","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156412.84","155431","4644.903774667281","148064","169618","155125.33836084572","157700.34163915427","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1712.6071","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3132.8547","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139425.06","139370.5","3278.126744881931","134251","153633","138516.40962484916","140333.71037515084","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","16110.3365","50","False","500","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","System.Boolean[]","True","False","True","2026-08-17 01:23:05","69a6a1c31b119aac7843e57eaffdae54521af9a5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","83","0.04","159","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
