"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Dedicated","Common","Enabled","JS","Methods","InstrumentPropertyAccessors","Reference","TestKIR","Native","CILabel","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5235.7896","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245012.26","236398","21904.42275703187","222900","299998","238940.66377916615","251083.85622083387","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23834.1367","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192463.96","190601","6653.393002622568","184202","218213","190619.733550459","194308.18644954098","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3139.0964","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5235.7896","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225558.88","222380","8936.176227959184","218200","258052","223081.89832300215","228035.86167699785","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23834.1367","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197079.24","194021","9880.815397567972","184889","222991","194340.41770406108","199818.0622959389","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3724.4973","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4700.9861","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230916.94","228102","10321.40139672152","219535","261665","228055.99349576372","233777.8865042363","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26358.7391","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198193.32","195358","11948.86280549282","187531","264079","194881.26420844518","201505.37579155483","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3724.4973","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4700.9861","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241138.86","231620","22237.579183885817","219724","320707","234974.9175290654","247302.80247093458","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26358.7391","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217574.66","216625.5","15162.755364015458","192009","269976","213371.75864136775","221777.56135863226","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2263.399","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4096.9194","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230533.36","230082.5","7292.199927739395","221314","258248","228512.06530468035","232554.65469531962","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25719.5104","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206028.44","200658","13659.282870529583","188055","246463","202242.2799547925","209814.6000452075","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2263.399","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4096.9194","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246180.28","232835","27611.59751459077","221181","351244","238526.73564595138","253833.82435404861","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25719.5104","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
