"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Reference","InstrumentPropertyAccessors","Dedicated","Native","JVM","CILabel","Common","TestKIR","FlushEarly","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4736.3361","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185604.2","183505.5","7346.75772719101","175757","212855","183567.78265421648","187640.61734578354","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21568.9059","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"145337.64","142615","7367.306047556823","139431","183876","143295.52695040082","147379.7530495992","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3188.2636","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4736.3361","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181639.52","180072.5","4413.499496512295","176446","200500","180416.16035428306","182862.87964571692","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21568.9059","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143556.6","142135.5","6286.608864913433","135248","167000","141814.04092645328","145299.15907354673","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3729.2062","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3967.3878","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179212.82","177390.5","5195.365527750552","172918","194986","177772.73814739723","180652.90185260278","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18443.5174","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"141744.34","140669.5","3007.553929216043","136125","153590","140910.6885829719","142577.9914170281","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3729.2062","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3967.3878","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193065.6","185302.5","19731.07430177183","174574","245505","187596.42523595964","198534.77476404037","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18443.5174","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143131.14","142096","2900.6352295836923","138434","149708","142327.1249344898","143935.15506551022","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3352.0366","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3291.2492","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186215.3","182069.5","21949.003964431104","174566","328690","180131.34649893246","192299.25350106752","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22869.5156","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"141967.46","141450.5","3535.1079607680604","136966","156604","140987.578065976","142947.34193402398","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3352.0366","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3291.2492","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185927.16","184313.5","4683.5770664250695","180696","198667","184628.93867127944","187225.38132872057","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22869.5156","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
