"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JVM","CILabel","InstrumentPropertyAccessors","Native","Dedicated","TestKIR","Common","Reference","Methods","FlushEarly","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4742.5317","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218865.86","217687","4436.470080584154","215071","237565","217636.13323322317","220095.5867667768","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23963.3036","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189204.5","186231","9652.433287909895","182117","230882","186528.98199512993","191880.01800487007","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4376.8756","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4742.5317","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250676.82","247754.5","22006.515048021018","228576","374055","244576.92523987015","256776.71476012986","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23963.3036","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207272.74","202115.5","13654.566904123458","189066","233806","203487.88715398812","211057.59284601186","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4839.0503","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4381.1968","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243773.26","239824","12799.101910154894","227138","290642","240225.52995252286","247320.99004747716","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23590.002","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219757.48","219376","4912.624105468752","212462","240986","218395.77007118822","221119.1899288118","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4839.0503","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4381.1968","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247153.74","242537.5","16784.793505213376","227835","309998","242501.2326071259","251806.2473928741","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23590.002","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220469.36","220179","5423.739905418829","209700","243022","218965.9759995266","221972.74400047338","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","6957.1268","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5623.4392","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249232.02","247614","15305.526472206979","229112","304540","244989.5445092139","253474.49549078607","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","34470.6803","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220759.9","221882.5","9225.265538460237","187941","234440","218202.7868543672","223317.01314563278","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","6957.1268","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5623.4392","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234111.52","231041","11630.334850918513","219980","284010","230887.75565290253","237335.28434709745","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","34470.6803","50","False","500","System.Boolean[]","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-06-07 02:48:26","5ebcd3f6beb09e19c60f492a8db7e28d2aceed9b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.64","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
