"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Reference","CILabel","Methods","Native","FlushEarly","TestKIR","Common","JS","InstrumentPropertyAccessors","Dedicated","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156856.74","153772","11200.418479445038","143332","210401","153752.14239129444","159961.33760870554","commonmain-plain-jar","2031.2361","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6232.986","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138016.46","137305.5","3973.300433531555","132379","156104","136915.11730934528","139117.8026906547","commonmain-plain-linux-exe","17259.1523","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153886.48","153337.5","5088.263114266007","142658","165027","152476.08542179695","155296.87457820307","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2288.2362","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3673.7413","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138354.64","137124","3972.9629397738317","133671","158740","137253.39085784217","139455.88914215786","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17432.9041","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153554.62","152871.5","4543.183649048275","145459","164501","152295.3137411642","154813.9262588358","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2288.2362","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3673.7413","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139247.58","136811.5","17559.954495420097","131589","259536","134380.2089427928","144114.9510572072","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17432.9041","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155696.56","155489.5","5383.954078252776","146942","172341","154204.20406817482","157188.91593182518","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1792.8572","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
