"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Native","Reference","TestKIR","FlushEarly","JS","JVM","Dedicated","Enabled","CILabel","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6263.7171","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252468.2","251879.5","13584.604087130461","232258","283334","248702.7398574602","256233.66014253983","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","46944.2122","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225996.92","224144.5","9478.09661818624","211777","251247","223369.7256545474","228624.11434545263","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5985.6814","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6263.7171","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253934.5","253869","15963.307489684088","226679","293734","249509.69691336033","258359.30308663967","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","46944.2122","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225337.9","224562.5","8015.332896316629","212894","257110","223116.1630721744","227559.6369278256","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4771.4393","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4809.9512","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251140.8","248207","14670.829777737417","228942","287814","247074.2534571831","255207.34654281687","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24121.1691","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223867.72","221473.5","8384.204208254609","208811","243397","221543.73716100023","226191.70283899977","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4771.4393","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4809.9512","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253660.8","249629.5","18144.866952796703","225180","308720","248631.2994813083","258690.30051869169","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24121.1691","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225167.98","222482","8142.743153312422","209921","242803","222910.92675074234","227425.03324925769","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4779.4454","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5952.2303","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255258.08","253402","15436.034114277636","226784","304376","250979.4296364416","259536.73036355837","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27187.9432","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224520.2","222464","8799.064934087357","213670","254018","222081.22363466638","226959.17636533364","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4779.4454","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5952.2303","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249324.52","247069.5","13382.84377094611","226722","283369","245614.9849638575","253034.05503614247","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27187.9432","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
