"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JVM","TestKIR","JS","Common","Dedicated","Methods","InstrumentPropertyAccessors","FlushEarly","CILabel","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5043.1758","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258398.3","254402.5","15879.744605783117","236340","306535","253996.65936305016","262799.9406369498","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22902.4761","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213105.7","213995","16892.670867290708","174495","264817","208423.29052793543","217788.1094720646","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3038.0485","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5043.1758","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"276974.7","282069.5","20566.998237467713","233374","302424","271273.8189424329","282675.58105756715","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22902.4761","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240881.88","240577.5","12429.142764601957","211728","273117","237436.69739579118","244327.06260420883","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3772.1117","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4225.4455","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"263135.6","258956.5","28683.468242319712","229028","308688","255184.9482383794","271086.2517616205","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23761.2755","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201268.16","197194.5","16353.373552429668","176496","243189","196735.2361169937","205801.0838830063","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3772.1117","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4225.4455","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231049.46","226898","8172.675761989597","221299","251785","228784.10985491722","233314.81014508277","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23761.2755","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181383.46","180042.5","4333.306392846657","176774","195949","180182.32874854637","182584.59125145362","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3461.474","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5699.8616","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225365.06","223797","4857.148463904327","220615","243469","224018.7271345058","226711.39286549418","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21100.8701","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180935.84","180921","3009.6978515377623","176251","192769","180101.59431802318","181770.0856819768","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3461.474","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5699.8616","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232352.3","224585.5","20348.90138863742","220499","308134","226711.87230465206","237992.72769534792","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21100.8701","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
