"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","TestKIR","Dedicated","FlushEarly","Native","Enabled","JS","Methods","Reference","JVM","InstrumentPropertyAccessors","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2546.7224","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112926.94","112577","3541.4664805785214","107091","127923","111945.29557420533","113908.58442579467","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","11471.6188","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111139.62","111231.5","4604.1046189730505","101201","123041","109863.42730983168","112415.81269016831","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1282.9677","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2546.7224","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112296.96","112482","2677.0509281365444","108082","121915","111554.9193409721","113039.00065902791","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","11471.6188","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111210.04","111014.5","4030.0193647177425","101495","121313","110092.97562372683","112327.10437627316","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1137.9916","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2346.964","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112879.08","112444","3751.228189839282","107896","134537","111839.29259480111","113918.8674051989","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11319.8518","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110206.48","110102.5","4550.383214362393","99520","120629","108945.17812347374","111467.78187652625","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1137.9916","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2346.964","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112612.74","112395.5","2517.1397422552477","107099","123186","111915.0244602704","113310.4555397296","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11319.8518","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109859.32","109870.5","4439.2549864009525","101353","121325","108628.82129671429","111089.81870328572","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1069.7185","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1773.478","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112195.04","112079","2845.2899494298526","107221","120887","111406.36586346796","112983.71413653203","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11402.9534","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110681.24","110157","4636.592721349749","100667","120956","109396.0420672923","111966.4379327077","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1069.7185","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1773.478","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112339.88","111566","3884.859468159298","108210","135438","111263.05189423426","113416.70810576575","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11402.9534","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
