"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Methods","Common","Native","TestKIR","Reference","Dedicated","FlushEarly","CILabel","Enabled","JS","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"68784.33333333333","73381","4544.9155474368645","64293","73381","57501.09800987913","80067.56865678752","commonmain-plain-jar","2064.0266","3","False","20","True","System.String[]","True","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.Boolean[]","True","System.Boolean[]","2026-06-28 02:27:28","53f50780b30951f21876b17444015aec6ba55b90","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","85","0.02","159","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6353.766","3","False","20","True","System.String[]","True","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.Boolean[]","True","System.Boolean[]","2026-06-28 02:27:28","53f50780b30951f21876b17444015aec6ba55b90","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","85","0.02","159","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"8660","9250","635.5776899797538","7987","9250","7082.110913276855","10237.889086723146","commonmain-plain-linux-exe","18024.3773","3","False","20","True","System.String[]","True","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.Boolean[]","True","System.Boolean[]","2026-06-28 02:27:28","53f50780b30951f21876b17444015aec6ba55b90","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","85","0.02","159","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114423.33333333333","125448","11458.723852739158","102575","125448","85975.83493925461","142870.83172741203","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2328.0522","3","False","20","True","System.String[]","True","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.Boolean[]","True","System.Boolean[]","2026-06-28 02:27:28","53f50780b30951f21876b17444015aec6ba55b90","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","85","0.02","159","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3953.6698","3","False","20","True","System.String[]","True","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.Boolean[]","True","System.Boolean[]","2026-06-28 02:27:28","53f50780b30951f21876b17444015aec6ba55b90","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","85","0.02","159","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"54122.333333333336","66651","10932.575923968392","46518","66651","26981.053026984893","81263.61363968177","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19733.1848","3","False","20","True","System.String[]","True","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.Boolean[]","True","System.Boolean[]","2026-06-28 02:27:28","53f50780b30951f21876b17444015aec6ba55b90","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","85","0.02","159","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
