"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","InstrumentPropertyAccessors","CILabel","Methods","TestKIR","JVM","JS","Reference","Native","Dedicated","FlushEarly","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"65462.333333333336","71841","7416.080186549586","57325","71841","47051.12699757745","83873.53966908922","commonmain-plain-jar","3017.235","3","False","20","System.Boolean[]","System.Boolean[]","ci-windows-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","True","2026-07-14 02:15:47","719f54730ee366af6664a6a24c92b60d870db736","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.46","High performance","0.63","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7689.9324","3","False","20","System.Boolean[]","System.Boolean[]","ci-windows-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","True","2026-07-14 02:15:47","719f54730ee366af6664a6a24c92b60d870db736","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.46","High performance","0.63","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"12884","13281","343.8211744497421","12683","13281","12030.427435226897","13737.572564773103","commonmain-plain-win-exe","104765.1604","3","False","20","System.Boolean[]","System.Boolean[]","ci-windows-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","True","2026-07-14 02:15:47","719f54730ee366af6664a6a24c92b60d870db736","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.46","High performance","0.63","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"119426.33333333333","130381","10162.78885608342","110305","130381","94196.13114169183","144656.5355249748","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3254.4524","3","False","20","System.Boolean[]","System.Boolean[]","ci-windows-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","True","2026-07-14 02:15:47","719f54730ee366af6664a6a24c92b60d870db736","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.46","High performance","0.63","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5489.8917","3","False","20","System.Boolean[]","System.Boolean[]","ci-windows-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","True","2026-07-14 02:15:47","719f54730ee366af6664a6a24c92b60d870db736","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.46","High performance","0.63","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"79145","79988","1028.5363386871657","77999","79988","76591.5493523469","81698.4506476531","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","82437.0662","3","False","20","System.Boolean[]","System.Boolean[]","ci-windows-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","True","2026-07-14 02:15:47","719f54730ee366af6664a6a24c92b60d870db736","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.46","High performance","0.63","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
