"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Dedicated","Reference","JS","Native","Methods","FlushEarly","Enabled","JVM","CILabel","InstrumentPropertyAccessors","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"236903.4","219118","50870.05042623162","202056","443971","222802.9414146495","251003.85858535048","commonmain-plain-jar","2629.0674","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7941.4088","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247233.96","243531.5","12844.89579395454","230292","287024","243673.5365355404","250794.3834644596","commonmain-plain-win-exe","143615.2205","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199953.32","195693.5","12983.129647605412","184436","243932","196354.5800661804","203552.0599338196","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4630.708","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5463.9809","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234978.92","229996.5","14923.864230999494","220657","275622","230842.23588509514","239115.60411490488","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29062.9771","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223814.94","222419.5","9570.952991191205","213010","275443","221162.00718110433","226467.87281889567","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4630.708","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5463.9809","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230529.96","224597.5","13476.289283608829","218659","274159","226794.5231892328","234265.39681076718","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29062.9771","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226839.38","226397","12523.0180767502","187188","263105","223368.17648682723","230310.58351317278","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4365.1659","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6846.6309","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259075.34","241595","38472.70117125457","221636","337060","248411.25130760696","269739.428692393","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28006.4064","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215860.24","218525.5","17911.402998363807","185322","276150","210895.45238788243","220825.02761211756","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4365.1659","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6846.6309","50","False","500","True","False","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-09-18 02:27:28","fee381bf1f7484d1f409bd38560067d0add93b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.14","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
