"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Dedicated","Native","Common","Reference","JS","Methods","InstrumentPropertyAccessors","JVM","CILabel","TestKIR","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3416.4901","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"107473.6","107486.5","2454.4822139863854","102989","112916","106793.25224101788","108153.94775898213","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16521.2088","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125982.5","125253.5","5148.627335394893","116877","140744","124555.37331335722","127409.62668664278","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2043.4246","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3416.4901","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"106736.22","106533.5","3196.1439923758126","101311","122180","105850.29408446224","107622.14591553777","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16521.2088","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121971.86","122303.5","3629.317111287703","114893","132762","120965.86462173657","122977.85537826343","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2079.2999","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3810.7725","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"104477.1","104069","2112.8998184620923","100636","110353","103891.43405047587","105062.76594952414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12628.4928","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122474.18","122396.5","4354.092640498226","115942","135900","121267.28709465178","123681.0729053482","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2079.2999","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3810.7725","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"105540.04","105417","3384.541406007555","99805","123174","104601.89298567732","106478.18701432267","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12628.4928","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123333.18","123137.5","4817.411196940548","112952","134298","121997.8617429527","124668.4982570473","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1248.6226","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1935.0045","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"107303.52","107189","2883.3597908109396","102182","114898","106504.29344181225","108102.74655818776","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11511.95","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126919.9","125867","5323.063320330211","118626","141541","125444.42212516758","128395.37787483241","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1248.6226","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1935.0045","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111161.5","111047.5","1989.339345263207","106632","116796","110610.0832662822","111712.9167337178","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11511.95","50","False","500","System.Boolean[]","False","True","True","True","True","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","2026-07-26 03:15:28","039fda361d5eb6ee4ed9a6bb71003e8868eee84c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.86","145","83","0.02","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
