"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","InstrumentPropertyAccessors","Enabled","JS","Methods","Dedicated","FlushEarly","JVM","Reference","Common","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"85712.33333333333","95812","16789.70941777532","66331","95812","44030.09734987017","127394.5693167965","commonmain-plain-jar","1803.32","3","False","20","ci-linux-small","System.Boolean[]","System.Boolean[]","True","System.String[]","False","System.Boolean[]","True","True","True","True","System.Boolean[]","2026-08-14 01:01:00","809c04b9ed75ac9f49a1dd7bf556b71504297c6e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.12","145","83","0.03","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5232.3375","3","False","20","ci-linux-small","System.Boolean[]","System.Boolean[]","True","System.String[]","False","System.Boolean[]","True","True","True","True","System.Boolean[]","2026-08-14 01:01:00","809c04b9ed75ac9f49a1dd7bf556b71504297c6e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.12","145","83","0.03","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"8982","9343","318.43523674367447","8741","9343","8191.450720490283","9772.549279509718","commonmain-plain-linux-exe","14117.7562","3","False","20","ci-linux-small","System.Boolean[]","System.Boolean[]","True","System.String[]","False","System.Boolean[]","True","True","True","True","System.Boolean[]","2026-08-14 01:01:00","809c04b9ed75ac9f49a1dd7bf556b71504297c6e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.12","145","83","0.03","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"115154","199236","72857.1840520892","70698","199236","-65721.69374694876","296029.69374694873","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2009.9011","3","False","20","ci-linux-small","System.Boolean[]","System.Boolean[]","True","System.String[]","False","System.Boolean[]","True","True","True","True","System.Boolean[]","2026-08-14 01:01:00","809c04b9ed75ac9f49a1dd7bf556b71504297c6e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.12","145","83","0.03","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4121.3574","3","False","20","ci-linux-small","System.Boolean[]","System.Boolean[]","True","System.String[]","False","System.Boolean[]","True","True","True","True","System.Boolean[]","2026-08-14 01:01:00","809c04b9ed75ac9f49a1dd7bf556b71504297c6e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.12","145","83","0.03","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"36206.666666666664","37274","1089.1172266259189","35097","37274","33502.81753358907","38910.51579974426","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17724.4573","3","False","20","ci-linux-small","System.Boolean[]","System.Boolean[]","True","System.String[]","False","System.Boolean[]","True","True","True","True","System.Boolean[]","2026-08-14 01:01:00","809c04b9ed75ac9f49a1dd7bf556b71504297c6e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.12","145","83","0.03","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
