"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Reference","Common","Methods","Native","FlushEarly","JS","InstrumentPropertyAccessors","CILabel","TestKIR","JVM","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3854.1356","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144433.54","142413","8412.929117441918","137582","198575","142101.5950223947","146765.48497760532","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18753.1979","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142976.3","141953","3913.2929202388923","135538","153212","141891.59054341726","144061.00945658272","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2284.7423","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3854.1356","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143445.46","143097.5","3729.5618838284645","137647","155261","142411.6781884273","144479.2418115727","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18753.1979","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143679.98","143887","3734.042043039108","135572","150036","142644.95635165152","144715.0036483485","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2276.0603","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4379.8928","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142189.44","141581.5","3074.534450638546","137776","155331","141337.22252965704","143041.65747034297","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17687.1703","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144698.58","144754.5","4738.674257422553","135999","156213","143385.086509107","146012.07349089297","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2276.0603","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4379.8928","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143665.32","142319.5","5585.860708493712","137859","174787","142116.99840559016","145213.64159440986","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17687.1703","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144934.76","145138","4839.641218613003","135428","158852","143593.27989531707","146276.24010468295","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2179.9961","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3797.3488","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143105.32","141851.5","5070.897567532612","137982","165482","141699.73890577178","144510.90109422823","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18001.7426","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144969.82","144210.5","5169.787544247158","135741","157170","143536.8280027063","146402.81199729373","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2179.9961","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3797.3488","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143756","144018","3019.7817193719584","138082","153631","142918.95921246335","144593.04078753665","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18001.7426","50","False","500","False","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-28 03:53:28","1386d50d6119e55d2c3d63c429e7c58c7036bd81","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","86","0.05","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
