"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Native","CILabel","InstrumentPropertyAccessors","Enabled","Methods","FlushEarly","JVM","Common","TestKIR","Dedicated","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4973.2289","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"280347.98","281539.5","16133.059282601002","236570","316399","275876.1241169554","284819.8358830446","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22975.6797","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211598.38","211440.5","14433.103962610061","185242","251196","207597.72769127146","215599.03230872855","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2895.1947","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4973.2289","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237470.74","237958","15708.684114351838","216267","276835","233116.51491217598","241824.965087824","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22975.6797","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191260.46","190873","4488.494385125832","184206","210244","190016.31283172022","192504.60716827976","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2642.4194","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4337.0407","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"424115.88","255049","712004.5501116544","215198","5134473","226758.28771710588","621473.4722828942","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18669.2358","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232933.42","221123.5","25540.64624986643","213573","305857","225853.91404960642","240012.9259503936","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2642.4194","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4337.0407","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259374.92","254283.5","24352.389499184672","232362","398623","252624.78201683596","266125.0579831641","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18669.2358","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221896.82","222044.5","6947.227923717606","208977","241580","219971.14666567877","223822.49333432125","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2533.784","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4022.4312","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254044.32","253596.5","14499.205780416289","229451","291424","250025.3452021726","258063.2947978274","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19850.5595","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222576.48","221897.5","6125.796958530608","210147","243022","220878.49571273683","224274.4642872632","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2533.784","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4022.4312","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"267543.3","254250","31744.88756027158","234079","344065","258744.06609734596","276342.533902654","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19850.5595","50","False","500","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-06-14 02:51:37","a9a489b0f3a48262fd1a265a065367685b1e6447","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.67","High performance","0.36","137","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
