"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Reference","InstrumentPropertyAccessors","Native","CILabel","Common","Dedicated","JVM","TestKIR","Methods","Enabled","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7394.119","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237053.54","233650.5","10756.437740521455","225781","273382","234072.0075734484","240035.0724265516","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26776.074","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189427.86","188145.5","8667.39593454242","178403","219476","187025.38041930686","191830.3395806931","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3066.3964","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7394.119","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239178.46","236682","11208.540754500837","228652","299077","236071.61101151237","242285.3089884876","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26776.074","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189532.86","187020","9851.66681434245","179316","237362","186802.11727911848","192263.6027208815","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4646.4079","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4609.4651","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255047.26","254364.5","21455.173937447405","228635","344381","249100.1891987793","260994.33080122073","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24362.4856","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212196.66","209691","8946.135578002382","201377","253835","209716.91773201307","214676.40226798694","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4646.4079","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4609.4651","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240778.98","238172.5","10611.174090128783","228763","282556","237837.71260305145","243720.24739694857","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24362.4856","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199837.78","191092.5","19074.973326314033","183546","249386","194550.46714792424","205125.09285207576","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3248.7228","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3851.2999","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241605.24","237732.5","12670.21725013878","230480","298614","238093.23495762146","245117.24504237852","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","26460.0782","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208430.74","195232.5","25843.469546412038","179112","276444","201267.29571426284","215594.18428573714","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3248.7228","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3851.2999","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241499.62","236247","15194.232525413272","228951","299746","237287.9936173712","245711.2463826288","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","26460.0782","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
