"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Reference","IOA","JS","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"46434","59687","11560.398479291274","38425","59687","17734.083551979922","75133.91644802009","commonmain_plain_jar","999.7656","3","False","5","True","True","True","True","True","2026-04-09 01:15:21","13aa2557a67f8621d0381b187f3917bd2f874964","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.35","145","84","0.13","151","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"56923.333333333336","70801","16553.051994521535","38602","70801","15828.62452606175","98018.04214060493","commonmain_ioa_jar","2217.4554","3","False","5","True","True","True","True","True","2026-04-09 01:15:21","13aa2557a67f8621d0381b187f3917bd2f874964","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.35","145","84","0.13","151","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"3281","3612","508.08562270546486","2696","3612","2019.6235045263713","4542.376495473629","commonmain_plain_exe","1007.2066","3","False","5","True","True","True","True","True","2026-04-09 01:15:21","13aa2557a67f8621d0381b187f3917bd2f874964","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.35","145","84","0.13","151","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"2692","2791","104.3599540053559","2583","2791","2432.9153355882804","2951.0846644117196","commonmain_ioa_exe","3126.5921","3","False","5","True","True","True","True","True","2026-04-09 01:15:21","13aa2557a67f8621d0381b187f3917bd2f874964","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.35","145","84","0.13","151","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"222287","245179","27533.80099078222","191734","245179","153931.4161204807","290642.5838795193","commonmain_plain_node","932.1777","3","False","5","True","True","True","True","True","2026-04-09 01:15:21","13aa2557a67f8621d0381b187f3917bd2f874964","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.35","145","84","0.13","151","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"178767.33333333334","197189","17330.058982396262","162788","197189","135743.62219353148","221791.0444731352","commonmain_ioa_node","6425.5048","3","False","5","True","True","True","True","True","2026-04-09 01:15:21","13aa2557a67f8621d0381b187f3917bd2f874964","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.35","145","84","0.13","151","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
