"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Reference","TestKIR","Native","CILabel","FlushEarly","Dedicated","JS","Methods","InstrumentPropertyAccessors","Enabled","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3499.875","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183838.74","181413","8960.402673645729","177075","222998","181355.04309486278","186322.4369051372","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","15578.5776","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"145650.12","141808.5","10315.220880913836","135810","178768","142790.88664734215","148509.35335265784","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3594.7805","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3499.875","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184072.32","180861.5","11034.533442954147","175317","233442","181013.7033775009","187130.9366224991","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","15578.5776","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"155671.28","145303.5","18378.305263788054","136597","209984","150577.07368273355","160765.48631726645","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1939.5903","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3100.7852","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183763.02","182155.5","5284.073175697176","176747","204661","182298.34964187","185227.69035812997","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","15030.1801","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"146186.78","141933.5","11097.776065666198","136211","184793","143110.63341684805","149262.92658315194","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1939.5903","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3100.7852","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193384.46","184111","16247.366963082393","176892","248379","188880.91964443942","197888.00035556057","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","15030.1801","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"147269.92","142368.5","11984.685480858563","136216","188295","143947.93466943002","150591.90533057","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1676.0174","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2526.6129","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182019.14","180600.5","5545.619812288703","177432","213319","180481.9726129405","183556.30738705953","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","14264.139","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"151645.74","142615.5","16718.167801685275","135844","195315","147011.70030993817","156279.7796900618","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1676.0174","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2526.6129","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178481.38","177712.5","4236.419107294869","173627","191906","177307.10453394314","179655.65546605687","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","14264.139","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
