"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Native","Methods","TestKIR","CILabel","InstrumentPropertyAccessors","Enabled","FlushEarly","Common","JVM","Dedicated","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3008.5686","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132696.6","132537.5","3207.531392309834","127559","148250","131807.51765823856","133585.68234176145","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14773.6987","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151567.9","151414.5","4817.371750408374","141223","162292","150232.59267697358","152903.2073230264","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1644.5546","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3008.5686","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132753.8","132038.5","3735.4591226705797","127001","144657","131718.38355721766","133789.21644278232","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14773.6987","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151436.76","151420","4149.761584299827","143345","159094","150286.5047738262","152587.01522617383","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1537.9766","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2960.1546","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133074.98","132837","2999.484843456031","128117","139738","132243.5652194334","133906.39478056662","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14304.5151","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151670.74","151892","4294.416440411138","143678","160036","150480.38849338854","152861.09150661144","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1537.9766","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2960.1546","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133613.76","133252","3203.25827461314","128088","143700","132725.86210603462","134501.6578939654","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14304.5151","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152114.7","152601.5","5004.325668654988","141271","162995","150727.57169469586","153501.82830530417","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1322.3289","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2383.0831","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132857.8","132004.5","3986.026121953789","127650","155094","131752.92992847846","133962.6700715215","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14149.009","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152120.5","151197.5","5412.4427027178845","142424","162687","150620.24742435283","153620.75257564717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1322.3289","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2383.0831","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132751.66","132714","2295.661859211137","128591","138417","132115.33499735987","133387.98500264014","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14149.009","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
