"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","TestKIR","Native","Methods","FlushEarly","JVM","Dedicated","Common","CILabel","JS","Enabled","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"88229.33333333333","112043","23486.632843669464","65084","112043","29921.274016336305","146537.39265033035","commonmain-plain-jar","1771.8619","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","True","False","True","ci-linux-small","True","System.Boolean[]","True","2026-05-14 02:05:04","7c0ca4fa8ba089aae437b0f7b1afb9e3ed6e8f78","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.08","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5873.8311","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","True","False","True","ci-linux-small","True","System.Boolean[]","True","2026-05-14 02:05:04","7c0ca4fa8ba089aae437b0f7b1afb9e3ed6e8f78","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.08","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11717","11971","342.8644046850008","11327","11971","10865.802717736167","12568.197282263833","commonmain-plain-linux-exe","15651.271","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","True","False","True","ci-linux-small","True","System.Boolean[]","True","2026-05-14 02:05:04","7c0ca4fa8ba089aae437b0f7b1afb9e3ed6e8f78","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.08","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126628.66666666667","191441","56431.65755436689","88387","191441","-13468.913856604471","266726.2471899378","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2106.5836","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","True","False","True","ci-linux-small","True","System.Boolean[]","True","2026-05-14 02:05:04","7c0ca4fa8ba089aae437b0f7b1afb9e3ed6e8f78","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.08","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3959.0355","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","True","False","True","ci-linux-small","True","System.Boolean[]","True","2026-05-14 02:05:04","7c0ca4fa8ba089aae437b0f7b1afb9e3ed6e8f78","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.08","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"47782.666666666664","52719","4361.921862359909","44448","52719","36953.73259257095","58611.60074076238","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18894.2137","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","True","False","True","ci-linux-small","True","System.Boolean[]","True","2026-05-14 02:05:04","7c0ca4fa8ba089aae437b0f7b1afb9e3ed6e8f78","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","86","0.08","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
