"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","CILabel","JVM","Methods","Reference","Dedicated","FlushEarly","Common","TestKIR","Native","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143566.28","143110.5","4937.500065781451","134264","155054","142197.67480677975","144934.88519322025","commonmain-plain-jar","1771.8872","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5718.5268","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144015.2","143741","3316.963973274356","137362","151854","143095.78449436615","144934.61550563388","commonmain-plain-linux-exe","15861.9805","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143608.2","142592.5","5625.492381170935","132611","157374","142048.89306638623","145167.5069336138","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2231.3831","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4079.2598","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143828.04","143564.5","4059.33682107543","137009","163449","142702.84923942536","144953.23076057466","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35929.395","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142836.02","142217.5","4891.987728762955","133785","159683","141480.03018297604","144192.00981702394","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2231.3831","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4079.2598","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143644.28","143062.5","4585.447059592612","137688","169609","142373.25892144092","144915.30107855907","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35929.395","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143217.4","141540.5","5424.085153747315","134483","157456","141713.9203015724","144720.8796984276","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2096.3049","50","False","500","True","System.Boolean[]","ci-linux-large","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-06-05 04:02:33","1b11e06fda3e972494bd3d7e71340cc1ee767b24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.08","174","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
