"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","InstrumentPropertyAccessors","Enabled","JS","Native","Methods","CILabel","Dedicated","JVM","Common","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"63652","70075","8275.714651919796","54313","70075","43106.65984730357","84197.34015269643","commonmain-plain-jar","2500.2306","3","False","20","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","ci-windows-small","False","True","True","System.Boolean[]","2026-05-27 03:39:25","82e0d4eaa1364ff5907631f299b3d9e8bab17ce9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.14","High performance","0.24","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7572.7092","3","False","20","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","ci-windows-small","False","True","True","System.Boolean[]","2026-05-27 03:39:25","82e0d4eaa1364ff5907631f299b3d9e8bab17ce9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.14","High performance","0.24","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"12639.333333333334","12879","211.47182633469956","12479","12879","12114.332075133783","13164.334591532885","commonmain-plain-win-exe","95423.8926","3","False","20","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","ci-windows-small","False","True","True","System.Boolean[]","2026-05-27 03:39:25","82e0d4eaa1364ff5907631f299b3d9e8bab17ce9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.14","High performance","0.24","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"118364.33333333333","134425","14084.525172448424","108117","134425","83398.00441453235","153330.6622521343","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","6368.171","3","False","20","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","ci-windows-small","False","True","True","System.Boolean[]","2026-05-27 03:39:25","82e0d4eaa1364ff5907631f299b3d9e8bab17ce9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.14","High performance","0.24","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4982.6318","3","False","20","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","ci-windows-small","False","True","True","System.Boolean[]","2026-05-27 03:39:25","82e0d4eaa1364ff5907631f299b3d9e8bab17ce9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.14","High performance","0.24","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"83759","91156","6406.257019508349","80002","91156","67854.78687674238","99663.21312325762","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","52815.4101","3","False","20","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","ci-windows-small","False","True","True","System.Boolean[]","2026-05-27 03:39:25","82e0d4eaa1364ff5907631f299b3d9e8bab17ce9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.14","High performance","0.24","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
