"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","Common","JVM","Reference","TestKIR","Dedicated","FlushEarly","InstrumentPropertyAccessors","Native","Enabled","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4093.0825","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226836.96","225819","3449.0191386502206","221352","239147","225880.94067001835","227792.97932998164","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18465.4444","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182912.32","182291","3089.688316887353","178770","193649","182055.90209223542","183768.7379077646","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2418.5017","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4093.0825","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228612.16","226354.5","7095.139947304544","221032","257906","226645.48754447902","230578.83245552098","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18465.4444","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184081.34","183864.5","3286.981734487909","178325","199870","183170.23514695565","184992.44485304435","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2182.7471","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3640.4443","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227091.34","226750","3872.6595333998384","222271","239989","226017.89354362086","228164.78645637914","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17330.6244","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181503.38","181295","2154.9851449840767","178037","188266","180906.0485931252","182100.71140687482","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2182.7471","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3640.4443","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226949.68","226610","5027.16998912826","221503","249254","225556.21957211988","228343.1404278801","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17330.6244","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183105.66","182538.5","2982.875428310127","177642","191838","182278.84911442522","183932.4708855748","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2066.9482","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3966.9885","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228478.5","227834","4365.115966152467","222380","249979","227268.55158466983","229688.44841533017","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17261.9681","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183151.8","183064.5","2699.5763613226877","178333","189617","182403.5156094425","183900.0843905575","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2066.9482","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3966.9885","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226990.4","226488.5","2802.0882518986746","222932","236774","226213.7007630749","227767.09923692507","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17261.9681","50","False","500","System.String[]","True","True","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","2026-05-28 02:27:52","9a3a79ab859ffcf8790d733d3224e240abb43ad8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.67","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
