"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Dedicated","Native","TestKIR","CILabel","Enabled","Methods","FlushEarly","Reference","JS","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2987.3752","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125145.38","124695","2209.9001352448267","121165","132604","124532.82693442034","125757.93306557967","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12926.3764","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140785.66","140398.5","5375.7413256599475","126347","153888","139295.58052705068","142275.73947294932","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1579.5831","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2987.3752","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125162.02","124665.5","2536.477378055589","121301","132166","124458.94434109505","125865.09565890496","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12926.3764","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142022.42","142357.5","4922.70754307971","131777","155479","140657.91508488017","143386.92491511986","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1370.848","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2667.908","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125060.04","124952.5","2052.7075794010734","120473","132049","124491.05848791849","125629.0215120815","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12599.2515","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141631.32","141835","4315.354292641614","132338","154580","140435.16481684864","142827.47518315137","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1370.848","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2667.908","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125068.64","124635","2734.2479304748717","121056","135928","124310.74514079104","125826.53485920896","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12599.2515","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141204.92","141563.5","5077.099392208837","130682","150160","139797.61984767634","142612.2201523237","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1289.5952","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2191.1311","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125181.86","124878.5","2152.563464754505","121342","133943","124585.19984863797","125778.52015136203","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12429.159","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141398.82","141146","5089.0932101537155","128492","152147","139988.19533095587","142809.44466904414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1289.5952","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2191.1311","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125649.86","124597.5","5526.490102908991","122067","160915","124117.9950978525","127181.7249021475","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12429.159","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
