"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","InstrumentPropertyAccessors","CILabel","JVM","Common","Methods","Reference","Dedicated","TestKIR","Native","JS","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6759.3591","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235696.7","234712","8176.341198724474","222684","255008","233430.3338476901","237963.0661523099","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29229.3846","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208820.56","205757.5","13145.029831530881","188025","256481","205176.94362475222","212464.17637524777","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3564.5221","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6759.3591","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241030.84","236717","14556.629660602013","220790","300081","236995.94811466068","245065.7318853393","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29229.3846","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204880.94","203351.5","9738.011412071392","188008","231584","202181.7009493389","207580.1790506611","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3260.762","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5608.6593","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229140.42","227878.5","7279.771057989028","218876","248969","227122.57041160887","231158.26958839115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22495.4742","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205225.46","204561.5","10855.977920980511","187701","237111","202216.33644309998","208234.5835569","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3260.762","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5608.6593","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238018.7","236586","7607.554755448222","226757","259724","235909.99340611644","240127.40659388358","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22495.4742","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207207.68","206418","11694.483786741823","190324","242701","203966.13447507212","210449.22552492787","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2455.4301","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5354.8997","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238298.84","236906","8559.175700250295","226149","264862","235926.35753782646","240671.32246217353","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21841.021","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201808.7","197987.5","10905.653117927941","184498","232413","198785.80718100164","204831.59281899838","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2455.4301","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5354.8997","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233721.84","231771.5","10632.630665636645","219984","281431","230774.6251437547","236669.0548562453","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21841.021","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.String[]","True","False","System.Boolean[]","True","True","System.Boolean[]","2026-05-27 02:41:47","8d037a3afea4fbe5d02f28e9dd320802134127ae","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.86","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.2","High performance","0.65","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
