"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","CILabel","Methods","Dedicated","Enabled","Native","TestKIR","JVM","JS","Reference","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2784.765","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137105.62","137156","2249.832400923433","132691","142095","136481.99827508733","137729.24172491266","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14415.3194","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153143.1","152743","4465.782511360747","145967","165813","151905.2482419417","154380.9517580583","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1714.224","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2784.765","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138017.24","137604.5","4137.1910048500595","131123","159007","136870.46916067935","139164.01083932063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14415.3194","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153970.98","152722.5","5189.36868280935","146878","165834","152532.56038800892","155409.3996119911","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1754.0941","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2604.8461","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137653.2","137671","2273.0798041244325","133821","145051","137023.13442367958","138283.26557632044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14338.0258","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153327.48","153241","5022.1128948046635","143407","164975","151935.4213271501","154719.5386728499","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1754.0941","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2604.8461","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136987.08","137210","2059.301068670769","132148","140339","136416.27086593656","137557.8891340634","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14338.0258","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154458.94","154063","5034.285724055457","145708","165666","153063.5071910272","155854.3728089728","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1338.6839","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2539.7664","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136557.08","136419.5","2614.811335450418","131315","145933","135832.29127588638","137281.8687241136","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14389.0556","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153188.48","152815","4844.80045813898","145279","167688","151845.56982708126","154531.39017291876","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1338.6839","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2539.7664","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137786.2","137052.5","3978.6194303336647","131865","157408","136683.3829586518","138889.0170413482","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14389.0556","50","False","500","True","System.Boolean[]","ci-linux-large","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","True","True","System.Boolean[]","2026-09-21 03:58:01","8589612cb713cb328e2c481d5085cfd7847774aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.02","164","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
