"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Native","Common","JS","Reference","FlushEarly","InstrumentPropertyAccessors","CILabel","Methods","Dedicated","JVM","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4777.9248","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84880.84","84097","3191.9070773135113","81300","96814","83996.0884974","85765.5915026","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","10784.7646","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"94824.14","94270","4077.711918491065","88797","107217","93693.85592227822","95954.42407772178","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4775.7782","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4777.9248","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"83647.48","83378.5","1977.4659958891734","81194","94545","83099.35439081845","84195.60560918154","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","10784.7646","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"95261.1","95463.5","3183.838975584189","89067","102687","94378.58486110209","96143.61513889792","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1539.1691","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2246.7165","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84812.8","83525.5","3768.1448529287013","81483","97047","83768.32353502436","85857.27646497564","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","9587.3431","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"94802.22","94654","3349.0505708517526","89412","111924","93873.91054327911","95730.52945672089","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1539.1691","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2246.7165","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"85462.86","84496","4034.6897764567843","80981","97345","84344.50105164068","86581.21894835932","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","9587.3431","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"94143.4","93721.5","2726.653477006836","89007","101387","93387.61021589334","94899.18978410665","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1317.4678","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1928.2043","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84469.8","83665","3537.3493593078865","81559","101322","83489.29678199814","85450.30321800186","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","9380.9062","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"95595.84","94920","3115.356797202777","89600","107428","94732.30715248987","96459.37284751012","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1317.4678","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","1928.2043","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84908.24","84005.5","3272.9803590948127","81310","95886","84001.01613021032","85815.46386978969","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","9380.9062","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
