"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Native","Reference","Enabled","FlushEarly","TestKIR","Common","InstrumentPropertyAccessors","Methods","JS","JVM","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"67139","70150","5139.183106292283","61205","70150","54380.432375719705","79897.56762428029","commonmain-plain-jar","2810.6446","3","False","20","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","2026-08-08 01:24:31","430ace5382a0baf1d33ae0bb95b0a579af0cc222","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","144","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8240.1879","3","False","20","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","2026-08-08 01:24:31","430ace5382a0baf1d33ae0bb95b0a579af0cc222","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","144","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"11410.666666666666","11587","153.06970089907844","11312","11587","11030.654884685575","11790.678448647757","commonmain-plain-win-exe","92116.4742","3","False","20","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","2026-08-08 01:24:31","430ace5382a0baf1d33ae0bb95b0a579af0cc222","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","144","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"121289.66666666667","141809","18121.19425792167","107481","141809","76301.8782204178","166277.45511291554","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5347.9725","3","False","20","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","2026-08-08 01:24:31","430ace5382a0baf1d33ae0bb95b0a579af0cc222","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","144","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6714.3265","3","False","20","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","2026-08-08 01:24:31","430ace5382a0baf1d33ae0bb95b0a579af0cc222","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","144","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"88362.66666666667","96444","7185.722116345255","82693","96444","70523.34869443341","106201.98463889993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","46970.3632","3","False","20","False","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","2026-08-08 01:24:31","430ace5382a0baf1d33ae0bb95b0a579af0cc222","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","144","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
