"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","TestKIR","JVM","Common","Enabled","Reference","Methods","JS","Dedicated","InstrumentPropertyAccessors","Native","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4259.6057","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135505.28","135050","2988.361868096613","129503","144987","134676.9483509044","136333.6116490956","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16147.8196","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151802.32","150987.5","4642.902973136439","142030","166330","150515.37295473518","153089.26704526483","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2463.179","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4259.6057","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136038.68","135581","3225.0988938483792","129187","143720","135144.72819524774","136932.63180475225","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16147.8196","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152946.86","153287.5","4705.097014810164","142055","164649","151642.67364591736","154251.04635408262","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2201.8293","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3304.6498","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136496.7","136359","3056.446945158942","131418","147480","135649.49613038657","137343.90386961345","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14980.2786","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151920.68","152129","4895.073397711171","139434","160529","150563.83487918045","153277.52512081954","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2201.8293","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3304.6498","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136015.18","135895.5","2581.815985554607","128852","141332","135299.5371202647","136730.8228797353","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14980.2786","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151624.1","151555.5","4485.9589890034","143200","164004","150380.65560767037","152867.54439232964","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1546.3026","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2918.6846","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135442.58","135405.5","2422.564732102011","130609","140373","134771.07931562635","136114.08068437362","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14135.9687","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151885.6","151738.5","4426.720258260957","142965","161759","150658.57574609137","153112.62425390864","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1546.3026","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2918.6846","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136756.46","137062.5","2941.0590776737804","131948","145390","135941.2400154642","137571.6799845358","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14135.9687","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
