"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Native","InstrumentPropertyAccessors","CILabel","Methods","TestKIR","JS","FlushEarly","Common","JVM","Reference","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4927.8198","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"260254.24","253455.5","26369.26087945924","234491","386449","252945.05379236484","267563.42620763514","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27662.0645","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216833.28","214036","7241.703478252804","203275","235912","214825.98220636862","218840.57779363138","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2266.9882","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4927.8198","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245371.18","240992","11393.88876599367","235905","287817","242212.9551638764","248529.40483612358","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27662.0645","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216444.24","221316","18506.153999672428","178600","265506","211314.59582115442","221573.88417884556","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2632.1443","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3806.8183","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239969.42","239214.5","4812.628311949677","232422","250361","238635.4274910337","241303.4125089663","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20927.6925","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212967.9","219149","16528.85717279859","181838","236076","208386.33453907727","217549.46546092271","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2632.1443","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3806.8183","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246463.08","242364.5","10100.075994541341","234863","285260","243663.48176731405","249262.67823268592","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20927.6925","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218703.98","219719","8961.536501570454","184553","238327","216219.9688137964","221187.9911862036","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2312.316","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3763.1627","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"268019.06","264237","17274.840143281162","235142","308030","263230.71860918275","272807.40139081725","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19497.9187","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212534.76","217168.5","16593.00885061943","178916","240339","207935.41260120395","217134.10739879607","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2312.316","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3763.1627","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244341.9","238300","15666.193963957117","231061","304173","239999.45258097924","248684.34741902075","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19497.9187","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","True","False","2026-06-01 02:52:41","d02c17c752f5240226f4701fe5e83928a4dc0174","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.13","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
