"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","JS","CILabel","Methods","Common","InstrumentPropertyAccessors","Enabled","TestKIR","Dedicated","FlushEarly","Native","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3373.143","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139522.2","139116.5","2899.7922867202833","133855","148706","138718.41858633084","140325.9814136692","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15567.522","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153801.56","153652.5","4428.249118040738","144637","162343","152574.1119677812","155029.0080322188","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2327.7244","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3373.143","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138299.32","138025.5","3099.7578538739217","133031","147365","137440.1109589839","139158.52904101613","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15567.522","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153671.78","152824","4093.115236389925","146372","165107","152537.22634038693","154806.33365961307","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2491.3935","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4222.2165","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137780.52","137800","2891.569852844221","131289","144318","136979.01772872146","138582.02227127852","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16889.8269","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154673.24","154980.5","4719.548190759149","142706","164665","153365.04798430958","155981.4320156904","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2491.3935","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4222.2165","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138500.28","138068.5","3568.655678063019","132452","152742","137511.09911316613","139489.46088683387","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16889.8269","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154994.72","154475","7409.818825183301","141536","183603","152940.82300964886","157048.61699035115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2096.1907","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4039.3567","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137452.02","136873","3430.6804732874675","130678","147539","136501.08388871563","138402.95611128435","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18812.11","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153303.22","153268.5","4035.735217594263","143740","163066","152184.57127014178","154421.86872985822","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2096.1907","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4039.3567","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138085.48","137345.5","2823.501909013713","134078","146046","137302.84520014975","138868.11479985027","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18812.11","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
