"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JVM","JS","CILabel","Dedicated","Native","Enabled","Common","InstrumentPropertyAccessors","Methods","Reference","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5430.9489","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221553.72","220534","3015.9994860065603","217761","231942","220717.72759406472","222389.71240593528","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28440.2073","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"317023.3","191320","475221.7015097334","183905","3278725","185298.56481981958","448748.0351801804","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2545.7885","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5430.9489","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255101.16","245226","27823.664481113028","225620","346567","247388.83368183472","262813.4863181653","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28440.2073","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216981.18","215702","7182.264913902117","207073","256315","214990.35773583982","218972.00226416017","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2244.8525","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3669.4894","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247640.76","245916","11101.257519427836","229264","280272","244563.64840709927","250717.87159290074","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20394.1338","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216810.72","216241.5","4509.065797809962","207683","235449","215560.87072704048","218060.56927295952","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2244.8525","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3669.4894","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244967.56","242329","13237.936344445528","227883","289082","241298.19125323527","248636.92874676472","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20394.1338","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213340.5","213353.5","3586.054333619817","206158","220893","212346.49645189365","214334.50354810635","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2737.1934","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4080.7214","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246437.84","244684","13521.932600008908","229581","299393","242689.7515074042","250185.9284925958","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19789.0693","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214999.82","214530.5","4836.099000058554","207589","231802","213659.3217482071","216340.31825179292","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2737.1934","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4080.7214","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242331.86","238842.5","11713.913926173265","227365","288155","239084.9287151984","245578.79128480158","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19789.0693","50","False","500","System.Boolean[]","True","True","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","2026-06-08 02:51:34","149781fa692165f7f3b3d207176f77fceb7ef913","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.17","High performance","0.26","139","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
