"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Reference","Enabled","JVM","JS","Native","Methods","FlushEarly","CILabel","TestKIR","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3589.1519","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137811.64","136906.5","4298.237463929434","133389","161302","136620.22935970535","139003.05064029468","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18699.682","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159363.68","158204.5","4819.987346244716","149196","173085","158027.6476707969","160699.7123292031","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2187.6063","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3589.1519","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139012.02","136792","12960.746524370408","132564","222005","135419.48435140404","142604.55564859594","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18699.682","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160603.62","159869","4902.580885865013","148007","172026","159244.6939096334","161962.54609036658","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1816.0248","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3362.1573","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136288.62","136329","3716.268261499508","131492","156269","135258.52299254146","137318.71700745853","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17202.1815","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159672.02","159952","4460.5700948444255","147234","167754","158435.6130500872","160908.42694991277","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1816.0248","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3362.1573","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137055.1","137085.5","2439.0728102025546","132877","143224","136379.02350983044","137731.17649016957","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17202.1815","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158474","158142","4638.917057825863","149076","168323","157188.15779409136","159759.84220590864","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1433.9983","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3113.6682","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137220.82","136813.5","3323.208670080463","132708","146903","136299.67355272258","138141.96644727743","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14689.16","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158904.52","158807.5","5240.6969400986345","150371","171045","157451.87292096094","160357.16707903903","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1433.9983","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3113.6682","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137523","136496.5","7038.286094132373","132329","180667","135572.08662856393","139473.91337143607","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14689.16","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","False","2026-05-24 03:54:06","beeb2155fbff675d579463428bca15c704bae015","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.05","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
