"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","FlushEarly","Reference","Native","InstrumentPropertyAccessors","Enabled","Dedicated","TestKIR","JS","JVM","Common","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3719.4524","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132922.12","132345","2948.8770926837733","128541","140128","132104.73297226403","133739.50702773596","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20436.5783","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157818.86","156080","9516.15470705323","141981","183479","155181.11649052237","160456.6035094776","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2347.1035","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3719.4524","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134058.46","133725","3621.1511711733046","127231","144408","133054.7281048554","135062.19189514458","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20436.5783","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153319.56","152088","10356.176227128763","138111","196300","150448.97440455266","156190.14559544733","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1467.9234","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3051.8871","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134282.34","133889.5","3903.5933713146187","128739","151732","133200.31912121022","135364.36087878977","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16213.6972","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154265.62","154818.5","7361.678992413817","135953","170874","152225.06669050988","156306.1733094901","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1467.9234","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3051.8871","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138597.76","134610.5","24861.700828054258","126857","307082","131706.44811903944","145489.07188096058","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16213.6972","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"149623.54","149375","6876.440815878933","131828","165699","147717.4878509163","151529.5921490837","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1466.9038","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2622.4369","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135934.44","134798","7618.213088355552","130065","184539","133822.77906696228","138046.10093303773","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14753.4433","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150152.06","149905","7539.748778930752","138839","173973","148062.14826391023","152241.97173608976","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1466.9038","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2622.4369","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133894.52","133706.5","2911.7456594466007","128193","139933","133087.425280453","134701.61471954698","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14753.4433","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","True","System.String[]","2026-06-26 03:58:19","6cd5ce57c8c3ce0cc4f4752287d111ca316ac527","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.55","72","15","0.02","167","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
