"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Methods","JVM","Native","FlushEarly","TestKIR","CILabel","Dedicated","Common","JS","Enabled","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5086.0601","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248158.24","242395","14802.136484732637","229579","289023","244055.29709491393","252261.18290508605","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20320.7996","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214178.08","218541","16739.623970906483","190934","272638","209538.0929632584","218818.0670367416","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4464.3045","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5086.0601","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248982.2","245779","13264.061261275037","229106","295968","245305.58979574282","252658.8102042572","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20320.7996","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220590.38","220102","5111.799295387733","210709","240665","219173.46152523335","222007.29847476666","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2917.9749","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5494.2675","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"264009.12","250566.5","35376.35699374049","227968","344925","254203.29412581158","273814.9458741884","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20321.795","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220616.7","220154","5028.810851646008","210353","240588","219222.78474823467","222010.61525176535","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2917.9749","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5494.2675","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254029.62","252172.5","14870.387785578067","234260","312153","249907.7587995141","258151.4812004859","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20321.795","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240403.72","236911.5","17333.295435510638","213424","284464","235599.1756288383","245208.2643711617","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2476.8068","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3991.3027","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"279253.02","280050","10378.802367876006","247382","301915","276376.1627583113","282129.8772416887","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19886.3653","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225659.52","227363","20987.417876238058","194253","262121","219842.10456404558","231476.9354359544","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2476.8068","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3991.3027","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241788.02","240460","15840.932619795401","219089","287576","237397.1374966956","246178.9025033044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19886.3653","50","False","500","System.Boolean[]","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","True","System.Boolean[]","True","2026-06-25 02:36:06","c85fd1b29a54bdb7b365937b094af5104cf7dbb3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.8","High performance","0.35","134","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
