"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Enabled","CILabel","TestKIR","Common","Native","Dedicated","Reference","FlushEarly","Methods","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"70678.66666666667","90740","17477.42616443661","58746","90740","27289.100853315744","114068.2324800176","commonmain-plain-jar","1943.8198","3","False","20","System.Boolean[]","True","System.Boolean[]","ci-linux-small","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","True","2026-08-05 01:27:39","7a390e95e273c91c427628b76af3b7a425221dd4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","83","0.06","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6175.6959","3","False","20","System.Boolean[]","True","System.Boolean[]","ci-linux-small","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","True","2026-08-05 01:27:39","7a390e95e273c91c427628b76af3b7a425221dd4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","83","0.06","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"8831","10428","1386.2672902438403","7938","10428","5389.444289278466","12272.555710721534","commonmain-plain-linux-exe","17538.6968","3","False","20","System.Boolean[]","True","System.Boolean[]","ci-linux-small","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","True","2026-08-05 01:27:39","7a390e95e273c91c427628b76af3b7a425221dd4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","83","0.06","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"105794.33333333333","124795","16604.138048490604","94074","124795","64572.79797391497","147015.86869275168","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2339.2825","3","False","20","System.Boolean[]","True","System.Boolean[]","ci-linux-small","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","True","2026-08-05 01:27:39","7a390e95e273c91c427628b76af3b7a425221dd4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","83","0.06","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4530.9803","3","False","20","System.Boolean[]","True","System.Boolean[]","ci-linux-small","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","True","2026-08-05 01:27:39","7a390e95e273c91c427628b76af3b7a425221dd4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","83","0.06","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46385.333333333336","46531","133.4403737005159","46269","46531","46054.05343992328","46716.61322674339","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20207.0193","3","False","20","System.Boolean[]","True","System.Boolean[]","ci-linux-small","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","True","2026-08-05 01:27:39","7a390e95e273c91c427628b76af3b7a425221dd4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","83","0.06","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
