"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Native","JVM","TestKIR","CILabel","Methods","Reference","Dedicated","Common","InstrumentPropertyAccessors","JS","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4562.665","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151845.2","144956","47628.408301203206","137454","480844","138643.27876913425","165047.12123086577","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","21446.5341","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"173249.02","173440.5","5735.884087470559","163210","187843","171659.1140465346","174838.92595346537","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2644.1551","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4562.665","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146118.26","144340","9024.395328966335","139467","202419","143616.82523577765","148619.69476422237","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","21446.5341","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"171466.64","170295.5","5093.019327251282","160861","185786","170054.92706681872","172878.3529331813","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2756.2926","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3645.491","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143923.1","143501","3436.622928553731","137324","153407","142970.5167241527","144875.68327584732","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17065.704","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"171083.26","170735","5495.263581392579","163161","190468","169560.05064801843","172606.4693519816","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2756.2926","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3645.491","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143285.16","143287","3086.539515049044","135528","150335","142429.61489557536","144140.70510442465","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17065.704","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"171209.32","171782.5","4890.497297195609","158127","181752","169853.74330952918","172564.89669047084","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1593.1977","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2918.2032","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143626.4","143754","2859.3313832404374","137763","152443","142833.83377658646","144418.96622341353","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","16380.092","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"171292.9","171652.5","5138.931272399835","161153","185061","169868.4609248999","172717.33907510008","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1593.1977","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2918.2032","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143502.44","143728.5","2967.632796471605","137319","150060","142679.854156413","144325.025843587","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","16380.092","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
