"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Enabled","Reference","JVM","Common","CILabel","Dedicated","FlushEarly","JS","InstrumentPropertyAccessors","TestKIR","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6688.5637","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226375.76","224136.5","12410.681142911555","220329","308774","222935.69469624368","229815.82530375634","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29905.0753","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192706.84","192290.5","3877.991808097777","187093","201067","191631.9155124824","193781.7644875176","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6037.5219","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6688.5637","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229090.54","226062","12383.41188554022","218361","284155","225658.0333487513","232523.0466512487","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29905.0753","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200660.2","195305","13409.770186285057","186496","237991","196943.20134231288","204377.19865768714","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4189.522","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4610.4326","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230134.6","230157.5","5023.894391519676","221097","242625","228742.04752145422","231527.1524785458","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","31641.3229","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194557.68","193201.5","6762.877839427562","187230","232069","192683.1059020066","196432.2540979934","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4189.522","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4610.4326","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245205.62","232452.5","40421.93494742018","221153","486286","234001.2312704791","256410.0087295209","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","31641.3229","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201671.44","198980","10935.191938929303","188459","237692","198640.3594375514","204702.5205624486","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4700.1116","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6250.1464","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231689.92","227925","10150.413344031555","221730","267970","228876.36896589486","234503.47103410517","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29655.0829","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204500.48","199853","13487.413257446475","191744","245830","200761.95978099777","208239.00021900225","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4700.1116","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6250.1464","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230757.56","228817","8638.320736658703","219828","261530","228363.13965298535","233151.98034701464","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29655.0829","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
