"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","Native","Methods","Dedicated","CILabel","JVM","Common","Reference","TestKIR","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"93963.66666666667","114103","19733.838560536908","74662","114103","44972.31754486309","142955.01578847025","commonmain-plain-jar","2453.0622","3","False","20","True","System.Boolean[]","True","System.String[]","False","ci-windows-small","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-05-26 02:59:06","43ea3b1f5b50721d3483c5c8abdaab34beecc4b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.14","136","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7518.7244","3","False","20","True","System.Boolean[]","True","System.String[]","False","ci-windows-small","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-05-26 02:59:06","43ea3b1f5b50721d3483c5c8abdaab34beecc4b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.14","136","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"13569","14927","1178.5805021295746","12813","14927","10643.048788285538","16494.951211714462","commonmain-plain-win-exe","101141.4731","3","False","20","True","System.Boolean[]","True","System.String[]","False","ci-windows-small","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-05-26 02:59:06","43ea3b1f5b50721d3483c5c8abdaab34beecc4b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.14","136","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"158438.66666666666","201183","40949.86098063501","119557","201183","56776.28964674295","260101.04368659036","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3447.6321","3","False","20","True","System.Boolean[]","True","System.String[]","False","ci-windows-small","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-05-26 02:59:06","43ea3b1f5b50721d3483c5c8abdaab34beecc4b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.14","136","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4984.3342","3","False","20","True","System.Boolean[]","True","System.String[]","False","ci-windows-small","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-05-26 02:59:06","43ea3b1f5b50721d3483c5c8abdaab34beecc4b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.14","136","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"83568","87723","3716.9491521945793","80559","87723","74340.27914759013","92795.72085240987","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","44917.0743","3","False","20","True","System.Boolean[]","True","System.String[]","False","ci-windows-small","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-05-26 02:59:06","43ea3b1f5b50721d3483c5c8abdaab34beecc4b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.14","136","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
